日期,汇买价,钞买价,汇卖价,钞卖价
2025年12月04日,90.69,90.69,91.05,91.05
2025年12月03日,90.57,90.57,90.93,90.93
2025年12月02日,90.64,90.64,91.00,91.00
2025年12月01日,90.61,90.61,90.97,90.97
2025年11月30日,90.74,90.74,91.10,91.10
2025年11月29日,90.74,90.74,91.10,91.10
2025年11月28日,90.75,90.75,91.11,91.11
2025年11月27日,90.89,90.89,91.25,91.25
2025年11月26日,90.83,90.83,91.19,91.19
2025年11月25日,90.95,90.95,91.31,91.31
2025年11月24日,91.11,91.11,91.47,91.47
2025年11月23日,91.18,91.18,91.54,91.54
2025年11月22日,91.18,91.18,91.54,91.54
2025年11月21日,91.14,91.14,91.50,91.50
2025年11月20日,91.18,91.18,91.54,91.54
2025年11月19日,91.13,91.13,91.49,91.49
2025年11月18日,91.14,91.14,91.50,91.50
2025年11月17日,91.26,91.26,91.62,91.62
2025年11月16日,91.21,91.21,91.57,91.57
2025年11月15日,91.21,91.21,91.57,91.57
2025年11月14日,91.16,91.16,91.52,91.52
2025年11月13日,91.16,91.16,91.52,91.52
2025年11月12日,91.40,91.40,91.76,91.76
2025年11月11日,91.39,91.39,91.75,91.75
2025年11月10日,91.41,91.41,91.77,91.77
2025年11月09日,91.45,91.45,91.81,91.81
2025年11月08日,91.45,91.45,91.81,91.81
2025年11月07日,91.43,91.43,91.79,91.79
2025年11月06日,91.38,91.38,91.74,91.74
2025年11月05日,91.49,91.49,91.85,91.85
2025年11月04日,91.48,91.48,91.84,91.84
2025年11月03日,91.44,91.44,91.80,91.80
2025年11月02日,91.49,91.49,91.85,91.85
2025年11月01日,91.49,91.49,91.85,91.85
2025年10月31日,91.43,91.43,91.79,91.79
2025年10月30日,91.42,91.42,91.78,91.78
2025年10月29日,91.19,91.19,91.55,91.55
2025年10月28日,91.22,91.22,91.58,91.58
2025年10月27日,91.38,91.38,91.74,91.74
2025年10月26日,91.54,91.54,91.90,91.90
2025年10月25日,91.54,91.54,91.90,91.90
2025年10月24日,91.53,91.53,91.89,91.89
2025年10月23日,91.50,91.50,91.86,91.86
2025年10月22日,91.55,91.55,91.91,91.91
2025年10月21日,91.47,91.47,91.83,91.83
2025年10月20日,91.48,91.48,91.84,91.84
2025年10月19日,91.62,91.62,91.98,91.98
2025年10月18日,91.62,91.62,91.98,91.98
2025年10月17日,91.56,91.56,91.92,91.92
2025年10月16日,91.52,91.52,91.88,91.88
2025年10月15日,91.52,91.52,91.88,91.88
2025年10月14日,91.65,91.65,92.01,92.01
2025年10月13日,91.49,91.49,91.85,91.85
2025年10月12日,91.54,91.54,91.90,91.90
2025年10月11日,91.54,91.54,91.90,91.90
2025年10月10日,91.38,91.38,91.74,91.74
2025年10月09日,91.38,91.38,91.74,91.74
2025年10月08日,91.46,91.46,91.82,91.82
2025年10月07日,91.44,91.44,91.80,91.80
2025年10月06日,91.45,91.45,91.81,91.81
2025年10月05日,91.40,91.40,91.76,91.76
2025年10月04日,91.40,91.40,91.76,91.76
2025年10月03日,91.40,91.40,91.76,91.76
2025年10月02日,91.40,91.40,91.76,91.76
2025年10月01日,91.37,91.37,91.73,91.73
2025年09月30日,91.35,91.35,91.71,91.71
2025年09月29日,91.38,91.38,91.74,91.74
2025年09月28日,91.57,91.57,91.93,91.93
2025年09月27日,91.57,91.57,91.93,91.93
2025年09月26日,91.53,91.53,91.89,91.89
2025年09月25日,91.50,91.50,91.86,91.86
2025年09月24日,91.51,91.51,91.87,91.87
2025年09月23日,91.28,91.28,91.64,91.64
2025年09月22日,91.36,91.36,91.72,91.72
2025年09月21日,91.43,91.43,91.79,91.79
2025年09月20日,91.43,91.43,91.79,91.79
2025年09月19日,91.37,91.37,91.73,91.73
2025年09月18日,91.29,91.29,91.65,91.65
2025年09月17日,91.18,91.18,91.54,91.54
2025年09月16日,91.27,91.27,91.63,91.63
2025年09月15日,91.36,91.36,91.72,91.72
2025年09月14日,91.45,91.45,91.81,91.81
2025年09月13日,91.45,91.45,91.81,91.81
2025年09月12日,91.37,91.37,91.73,91.73
2025年09月11日,91.23,91.23,91.59,91.59
2025年09月10日,91.24,91.24,91.60,91.60
2025年09月09日,91.27,91.27,91.63,91.63
2025年09月08日,91.31,91.31,91.67,91.67
2025年09月07日,91.34,91.34,91.70,91.70
2025年09月06日,91.34,91.34,91.70,91.70
2025年09月05日,91.32,91.32,91.68,91.68
2025年09月04日,91.37,91.37,91.73,91.73
2025年09月03日,91.42,91.42,91.78,91.78
2025年09月02日,91.34,91.34,91.70,91.70
2025年09月01日,91.38,91.38,91.74,91.74
2025年08月31日,91.32,91.32,91.68,91.68
2025年08月30日,91.32,91.32,91.68,91.68
2025年08月29日,91.33,91.33,91.69,91.69
2025年08月28日,91.34,91.34,91.70,91.70
2025年08月27日,91.80,91.80,92.16,92.16
2025年08月26日,91.58,91.58,91.94,91.94
2025年08月25日,91.40,91.40,91.76,91.76
2025年08月24日,91.60,91.60,91.96,91.96
2025年08月23日,91.60,91.60,91.96,91.96
2025年08月22日,91.70,91.70,92.06,92.06
2025年08月21日,91.74,91.74,92.10,92.10
2025年08月20日,91.65,91.65,92.01,92.01
2025年08月19日,91.89,91.89,92.25,92.25
2025年08月18日,91.69,91.69,92.05,92.05
2025年08月17日,91.69,91.69,92.05,92.05
2025年08月16日,91.69,91.69,92.05,92.05
2025年08月15日,91.66,91.66,92.02,92.02
2025年08月14日,91.39,91.39,91.75,91.75
2025年08月13日,91.23,91.23,91.59,91.59
