日期,汇买价,钞买价,汇卖价,钞卖价
2025年11月3日,91.44,91.44,91.8,91.8
2025年11月2日,91.49,91.49,91.85,91.85
2025年11月1日,91.49,91.49,91.85,91.85
2025年10月31日,91.43,91.43,91.79,91.79
2025年10月30日,91.42,91.42,91.78,91.78
2025年10月29日,91.19,91.19,91.55,91.55
2025年10月28日,91.22,91.22,91.58,91.58
2025年10月27日,91.38,91.38,91.74,91.74
2025年10月26日,91.54,91.54,91.9,91.9
2025年10月25日,91.54,91.54,91.9,91.9
2025年10月24日,91.53,91.53,91.89,91.89
2025年10月23日,91.5,91.5,91.86,91.86
2025年10月22日,91.55,91.55,91.91,91.91
2025年10月21日,91.47,91.47,91.83,91.83
2025年10月20日,91.48,91.48,91.84,91.84
2025年10月19日,91.62,91.62,91.98,91.98
2025年10月18日,91.62,91.62,91.98,91.98
2025年10月17日,91.56,91.56,91.92,91.92
2025年10月16日,91.52,91.52,91.88,91.88
2025年10月15日,91.52,91.52,91.88,91.88
2025年10月14日,91.65,91.65,92.01,92.01
2025年10月13日,91.49,91.49,91.85,91.85
2025年10月12日,91.54,91.54,91.9,91.9
2025年10月11日,91.54,91.54,91.9,91.9
2025年10月10日,91.38,91.38,91.74,91.74
2025年10月9日,91.38,91.38,91.74,91.74
2025年10月8日,91.46,91.46,91.82,91.82
2025年10月7日,91.44,91.44,91.8,91.8
2025年10月6日,91.45,91.45,91.81,91.81
2025年10月5日,91.4,91.4,91.76,91.76
2025年10月4日,91.4,91.4,91.76,91.76
2025年10月3日,91.4,91.4,91.76,91.76
2025年10月2日,91.4,91.4,91.76,91.76
2025年10月1日,91.37,91.37,91.73,91.73
2025年9月30日,91.35,91.35,91.71,91.71
2025年9月29日,91.38,91.38,91.74,91.74
2025年9月28日,91.57,91.57,91.93,91.93
2025年9月27日,91.57,91.57,91.93,91.93
2025年9月26日,91.53,91.53,91.89,91.89
2025年9月25日,91.5,91.5,91.86,91.86
2025年9月24日,91.51,91.51,91.87,91.87
2025年9月23日,91.28,91.28,91.64,91.64
2025年9月22日,91.36,91.36,91.72,91.72
2025年9月21日,91.43,91.43,91.79,91.79
2025年9月20日,91.43,91.43,91.79,91.79
2025年9月19日,91.37,91.37,91.73,91.73
2025年9月18日,91.29,91.29,91.65,91.65
2025年9月17日,91.18,91.18,91.54,91.54
2025年9月16日,91.27,91.27,91.63,91.63
2025年9月15日,91.36,91.36,91.72,91.72
2025年9月14日,91.45,91.45,91.81,91.81
2025年9月13日,91.45,91.45,91.81,91.81
2025年9月12日,91.37,91.37,91.73,91.73
2025年9月11日,91.23,91.23,91.59,91.59
2025年9月10日,91.24,91.24,91.6,91.6
2025年9月9日,91.27,91.27,91.63,91.63
2025年9月8日,91.31,91.31,91.67,91.67
2025年9月7日,91.34,91.34,91.7,91.7
2025年9月6日,91.34,91.34,91.7,91.7
2025年9月5日,91.32,91.32,91.68,91.68
2025年9月4日,91.37,91.37,91.73,91.73
2025年9月3日,91.42,91.42,91.78,91.78
2025年9月2日,91.34,91.34,91.7,91.7
2025年9月1日,91.38,91.38,91.74,91.74
2025年8月31日,91.32,91.32,91.68,91.68
2025年8月30日,91.32,91.32,91.68,91.68
2025年8月29日,91.33,91.33,91.69,91.69
2025年8月28日,91.34,91.34,91.7,91.7
2025年8月27日,91.8,91.8,92.16,92.16
2025年8月26日,91.58,91.58,91.94,91.94
2025年8月25日,91.4,91.4,91.76,91.76
2025年8月24日,91.6,91.6,91.96,91.96
2025年8月23日,91.6,91.6,91.96,91.96
2025年8月22日,91.7,91.7,92.06,92.06
2025年8月21日,91.74,91.74,92.1,92.1
2025年8月20日,91.65,91.65,92.01,92.01
2025年8月19日,91.89,91.89,92.25,92.25
2025年8月18日,91.69,91.69,92.05,92.05
2025年8月17日,91.69,91.69,92.05,92.05
2025年8月16日,91.69,91.69,92.05,92.05
2025年8月15日,91.66,91.66,92.02,92.02
2025年8月14日,91.39,91.39,91.75,91.75
2025年8月13日,91.23,91.23,91.59,91.59
2025年8月12日,91.35,91.35,91.71,91.71
2025年8月11日,91.34,91.34,91.7,91.7
2025年8月10日,91.33,91.33,91.69,91.69
2025年8月9日,91.33,91.33,91.69,91.69
2025年8月8日,91.36,91.36,91.72,91.72
2025年8月7日,91.3,91.3,91.66,91.66
2025年8月6日,91.34,91.34,91.7,91.7
2025年8月5日,91.37,91.37,91.73,91.73
2025年8月4日,91.24,91.24,91.6,91.6
2025年8月3日,91.5,91.5,91.86,91.86
2025年8月2日,91.5,91.5,91.86,91.86
2025年8月1日,91.44,91.44,91.8,91.8
2025年7月31日,91.53,91.53,91.89,91.89
2025年7月30日,91.43,91.43,91.79,91.79
2025年7月29日,91.3,91.3,91.66,91.66
2025年7月28日,91.23,91.23,91.59,91.59
2025年7月27日,91.2,91.2,91.56,91.56
2025年7月26日,91.2,91.2,91.56,91.56
2025年7月25日,91.18,91.18,91.54,91.54
2025年7月24日,91.01,91.01,91.37,91.37
2025年7月23日,91.03,91.03,91.39,91.39
2025年7月22日,91.2,91.2,91.56,91.56
2025年7月21日,91.2,91.2,91.56,91.56
2025年7月20日,91.3,91.3,91.66,91.66
2025年7月19日,91.3,91.3,91.66,91.66
2025年7月18日,91.29,91.29,91.65,91.65
2025年7月17日,91.36,91.36,91.72,91.72
2025年7月16日,91.34,91.34,91.7,91.7
2025年7月15日,91.27,91.27,91.63,91.63
2025年7月14日,91.18,91.18,91.54,91.54
2025年7月13日,91.22,91.22,91.58,91.58
2025年7月12日,91.22,91.22,91.58,91.58
2025年7月11日,91.16,91.16,91.52,91.52
2025年7月10日,91.27,91.27,91.63,91.63
2025年7月9日,91.29,91.29,91.65,91.65
2025年7月8日,91.27,91.27,91.63,91.63
2025年7月7日,91.22,91.22,91.58,91.58
2025年7月6日,91.14,91.14,91.5,91.5
2025年7月5日,91.14,91.14,91.5,91.5
2025年7月4日,91.09,91.09,91.45,91.45
2025年7月3日,91.13,91.13,91.49,91.49
2025年7月2日,91.16,91.16,91.52,91.52
2025年7月1日,91.09,91.09,91.45,91.45
2025年6月30日,91.09,91.09,91.45,91.45
2025年6月29日,91.25,91.25,91.61,91.61
2025年6月28日,91.25,91.25,91.61,91.61
2025年6月27日,91.17,91.17,91.53,91.53
2025年6月26日,91.14,91.14,91.5,91.5
2025年6月25日,91.25,91.25,91.61,91.61
2025年6月24日,91.2,91.2,91.56,91.56
2025年6月23日,91.36,91.36,91.72,91.72
2025年6月22日,91.38,91.38,91.74,91.74
2025年6月21日,91.38,91.38,91.74,91.74
2025年6月20日,91.23,91.23,91.59,91.59
2025年6月19日,91.4,91.4,91.76,91.76
2025年6月18日,91.4,91.4,91.76,91.76
2025年6月17日,91.32,91.32,91.68,91.68
2025年6月16日,91.32,91.32,91.68,91.68
2025年6月15日,91.4,91.4,91.76,91.76
2025年6月14日,91.4,91.4,91.76,91.76
2025年6月13日,91.34,91.34,91.7,91.7
2025年6月12日,91.26,91.26,91.62,91.62
2025年6月11日,91.49,91.49,91.85,91.85
2025年6月10日,91.35,91.35,91.71,91.71
2025年6月9日,91.36,91.36,91.72,91.72
2025年6月8日,91.55,91.55,91.91,91.91
2025年6月7日,91.55,91.55,91.91,91.91
2025年6月6日,91.45,91.45,91.81,91.81
2025年6月5日,91.25,91.25,91.61,91.61
2025年6月4日,91.41,91.41,91.77,91.77
2025年6月3日,91.46,91.46,91.82,91.82
2025年6月2日,91.65,91.65,92.01,92.01
2025年6月1日,91.7,91.7,92.06,92.06
2025年5月31日,91.7,91.7,92.06,92.06
2025年5月30日,91.64,91.64,92,92
2025年5月29日,91.5,91.5,91.86,91.86
2025年5月28日,91.62,91.62,91.98,91.98
2025年5月27日,91.61,91.61,91.97,91.97
2025年5月26日,91.54,91.54,91.9,91.9
2025年5月25日,91.56,91.56,91.92,91.92
2025年5月24日,91.56,91.56,91.92,91.92
2025年5月23日,91.53,91.53,91.89,91.89
2025年5月22日,91.9,91.9,92.26,92.26
2025年5月21日,91.82,91.82,92.18,92.18
2025年5月20日,92.04,92.04,92.4,92.4
2025年5月19日,92.07,92.07,92.43,92.43
2025年5月18日,92.21,92.21,92.57,92.57
2025年5月17日,92.21,92.21,92.57,92.57
2025年5月16日,92.08,92.08,92.44,92.44
2025年5月15日,92.19,92.19,92.55,92.55
2025年5月14日,92.14,92.14,92.5,92.5
2025年5月13日,92.3,92.3,92.66,92.66
2025年5月12日,92.29,92.29,92.65,92.65
2025年5月11日,92.92,92.92,93.3,93.3
2025年5月10日,92.92,92.92,93.3,93.3
2025年5月9日,92.9,92.9,93.28,93.28
2025年5月8日,92.96,92.96,93.34,93.34
2025年5月7日,92.94,92.94,93.32,93.32
2025年5月6日,92.93,92.93,93.31,93.31
2025年5月5日,93.51,93.51,93.89,93.89
2025年5月4日,93.54,93.54,93.92,93.92
2025年5月3日,93.54,93.54,93.92,93.92
2025年5月2日,93.58,93.58,93.96,93.96
2025年5月1日,93.55,93.55,93.93,93.93
2025年4月30日,93.56,93.56,93.94,93.94
2025年4月29日,93.58,93.58,93.96,93.96
2025年4月28日,93.84,93.84,94.22,94.22
2025年4月27日,93.79,93.79,94.17,94.17
2025年4月26日,93.79,93.79,94.17,94.17
2025年4月25日,93.82,93.82,94.2,94.2
2025年4月24日,93.76,93.76,94.14,94.14
2025年4月23日,93.7,93.7,94.08,94.08
2025年4月22日,94.09,94.09,94.47,94.47
2025年4月21日,93.74,93.74,94.12,94.12
2025年4月20日,93.9,93.9,94.28,94.28
2025年4月19日,93.9,93.9,94.28,94.28
2025年4月18日,93.9,93.9,94.28,94.28
2025年4月17日,93.8,93.8,94.18,94.18
2025年4月16日,93.93,93.93,94.31,94.31
2025年4月15日,94.12,94.12,94.5,94.5
2025年4月14日,94.09,94.09,94.47,94.47
2025年4月13日,93.87,93.87,94.25,94.25
2025年4月12日,93.87,93.87,94.25,94.25
2025年4月11日,93.84,93.84,94.22,94.22
2025年4月10日,94.22,94.22,94.6,94.6
2025年4月9日,94.6,94.6,94.98,94.98
2025年4月8日,94.26,94.26,94.64,94.64
2025年4月7日,93.88,93.88,94.26,94.26
2025年4月6日,93.47,93.47,93.85,93.85
2025年4月5日,93.47,93.47,93.85,93.85
2025年4月4日,93.46,93.46,93.84,93.84
2025年4月3日,93.47,93.47,93.85,93.85
2025年4月2日,93.23,93.23,93.61,93.61
2025年4月1日,93.26,93.26,93.64,93.64
2025年3月31日,93.07,93.07,93.45,93.45
2025年3月30日,93.22,93.22,93.6,93.6
2025年3月29日,93.22,93.22,93.6,93.6
2025年3月28日,93.21,93.21,93.59,93.59
2025年3月27日,93.28,93.28,93.66,93.66
2025年3月26日,93.25,93.25,93.63,93.63
2025年3月25日,93.15,93.15,93.53,93.53
2025年3月24日,93.12,93.12,93.5,93.5
2025年3月23日,93.16,93.16,93.54,93.54
2025年3月22日,93.16,93.16,93.54,93.54
2025年3月21日,93.09,93.09,93.47,93.47
2025年3月20日,93.08,93.08,93.46,93.46
2025年3月19日,92.87,92.87,93.25,93.25
2025年3月18日,92.84,92.84,93.22,93.22
2025年3月17日,92.91,92.91,93.29,93.29
2025年3月16日,92.98,92.98,93.36,93.36
2025年3月15日,92.98,92.98,93.36,93.36
2025年3月14日,92.98,92.98,93.36,93.36
2025年3月13日,93.08,93.08,93.46,93.46
2025年3月12日,93.05,93.05,93.43,93.43
2025年3月11日,92.85,92.85,93.23,93.23
2025年3月10日,93.26,93.26,93.64,93.64
2025年3月9日,93.12,93.12,93.5,93.5
2025年3月8日,93.12,93.12,93.5,93.5
2025年3月7日,92.99,92.99,93.37,93.37
2025年3月6日,93.04,93.04,93.42,93.42
2025年3月5日,93.16,93.16,93.54,93.54
2025年3月4日,93.23,93.23,93.61,93.61
2025年3月3日,93.59,93.59,93.97,93.97
2025年3月2日,93.47,93.47,93.85,93.85
2025年3月1日,93.47,93.47,93.85,93.85
2025年2月28日,93.44,93.44,93.82,93.82
2025年2月27日,93.48,93.48,93.86,93.86
2025年2月26日,93.21,93.21,93.59,93.59
2025年2月25日,93.18,93.18,93.56,93.56
2025年2月24日,93.08,93.08,93.46,93.46
2025年2月23日,93.21,93.21,93.59,93.59
2025年2月22日,93.21,93.21,93.59,93.59
2025年2月21日,93.23,93.23,93.61,93.61
2025年2月20日,93.17,93.17,93.55,93.55
2025年2月19日,93.49,93.49,93.87,93.87
2025年2月18日,93.47,93.47,93.85,93.85
2025年2月17日,93.22,93.22,93.6,93.6
2025年2月16日,93.13,93.13,93.51,93.51
2025年2月15日,93.13,93.13,93.51,93.51
2025年2月14日,93.13,93.13,93.51,93.51
2025年2月13日,93.53,93.53,93.91,93.91
2025年2月12日,93.65,93.65,94.03,94.03
2025年2月11日,93.59,93.59,93.97,93.97
2025年2月10日,93.61,93.61,93.99,93.99
2025年2月9日,93.48,93.48,93.86,93.86
